ds,ts,max_temp,min_temp
2019-08-12,8938.932708333330,16.4,9.1
2019-08-13,9063.235416666670,17.0,7.3
2019-08-14,9026.40229166667,19.6,7.8
2019-08-15,8728.336250000000,21.8,6.4
2019-08-16,8435.025208333330,25.8,6.7
2019-08-17,7695.384583333330,17.4,11.8
2019-08-18,7364.1483333333300,21.3,8.9
2019-08-19,8274.265833333330,17.4,11.2
2019-08-20,8520.265000000000,21.5,7.7
2019-08-21,8144.8481250000000,22.3,8.9
2019-08-22,8358.835000000000,19.5,13.0
2019-08-23,8535.390416666670,19.9,6.6
2019-08-24,7548.459583333330,25.9,6.1
2019-08-25,7335.664583333330,21.0,8.7
2019-08-26,8437.90625,15.8,12.3
2019-08-27,8411.27395833333,15.8,11.9
2019-08-28,8190.4716666666600,20.2,10.0
2019-08-29,8982.028541666670,15.0,9.9
2019-08-30,8997.742083333330,15.5,10.7
2019-08-31,7980.7247916666700,16.4,12.2
2019-09-01,7258.671250000000,23.3,9.7
